frame_id,status,mean_conf,nz_points
0,OK,0.0,0
1,OK,0.0,0
10,OK,0.4303491711616516,14
100,OK,0.41217291355133057,16
101,OK,0.4627401828765869,17
102,OK,0.3877541720867157,17
103,OK,0.6430811882019043,16
104,OK,0.15191830694675446,8
105,OK,0.12412679940462112,9
106,OK,0.17507009208202362,9
107,OK,0.2198370397090912,8
108,OK,0.49784520268440247,16
109,OK,0.6487351059913635,17
11,OK,0.5906604528427124,17
110,OK,0.6904705166816711,17
111,OK,0.660802960395813,17
112,OK,0.629294216632843,16
113,OK,0.5935414433479309,17
114,OK,0.5488229990005493,16
115,OK,0.5914706587791443,17
116,OK,0.40907424688339233,15
117,OK,0.39691361784935,15
118,OK,0.6355350613594055,17
119,OK,0.6764768958091736,17
12,OK,0.5791438221931458,17
120,OK,0.17300140857696533,8
121,OK,0.16611811518669128,8
122,OK,0.16954362392425537,7
123,OK,0.20696920156478882,11
124,OK,0.6679219603538513,17
125,OK,0.6771171689033508,16
126,OK,0.40161868929862976,14
127,OK,0.7038387060165405,17
128,OK,0.6738767623901367,17
129,OK,0.24469506740570068,9
13,OK,0.5688278675079346,16
130,OK,0.6221840977668762,16
131,OK,0.6123271584510803,16
132,OK,0.16108499467372894,9
133,OK,0.06984920799732208,7
134,OK,0.16108116507530212,7
135,OK,0.21686241030693054,8
136,OK,0.6631102561950684,17
137,OK,0.6823123693466187,17
138,OK,0.19922561943531036,9
139,OK,0.22740724682807922,9
14,OK,0.5842399597167969,17
140,OK,0.2147338092327118,10
141,OK,0.7173873782157898,17
142,OK,0.250410795211792,10
143,OK,0.29676273465156555,11
144,OK,0.7217535972595215,17
145,OK,0.7104067802429199,16
146,OK,0.23413687944412231,9
147,OK,0.7009275555610657,17
148,OK,0.7141209244728088,16
149,OK,0.6692360639572144,17
15,OK,0.6070024371147156,17
150,OK,0.06301073729991913,4
151,OK,0.5848674774169922,17
152,OK,0.5443139672279358,17
153,OK,0.16703373193740845,7
154,OK,0.4113364517688751,14
155,OK,0.5100827217102051,15
156,OK,0.5395368337631226,15
157,OK,0.48233968019485474,15
158,OK,0.6493821144104004,17
159,OK,0.724345862865448,17
16,OK,0.5650578737258911,16
160,OK,0.44390159845352173,14
161,OK,0.682595431804657,16
162,OK,0.49956175684928894,14
163,OK,0.5449841618537903,15
164,OK,0.5181195139884949,15
165,OK,0.43418434262275696,15
166,OK,0.4441371262073517,14
167,OK,0.507057249546051,15
168,OK,0.6687384247779846,16
169,OK,0.17152726650238037,6
17,OK,0.6666833162307739,17
170,OK,0.5102563500404358,17
171,OK,0.6460501551628113,17
172,OK,0.0,0
173,OK,0.0,0
174,OK,0.0,0
175,OK,0.0,0
176,OK,0.0,0
18,OK,0.7233555912971497,17
19,OK,0.6706985831260681,17
2,OK,0.0,0
20,OK,0.47722312808036804,16
21,OK,0.30157285928726196,11
22,OK,0.2637520432472229,10
23,OK,0.5860193967819214,15
24,OK,0.5458652377128601,16
25,OK,0.27547532320022583,11
26,OK,0.4023716449737549,13
27,OK,0.6473190784454346,17
28,OK,0.6606300473213196,16
29,OK,0.6449920535087585,16
3,OK,0.0,0
30,OK,0.6607211232185364,17
31,OK,0.6929788589477539,17
32,OK,0.689882755279541,16
33,OK,0.611949622631073,17
34,OK,0.5887075066566467,17
35,OK,0.5770720839500427,16
36,OK,0.5763442516326904,16
37,OK,0.45711177587509155,14
38,OK,0.4329403042793274,15
39,OK,0.42901673913002014,14
4,OK,0.4305003583431244,14
40,OK,0.20744557678699493,8
41,OK,0.16010618209838867,6
42,OK,0.1772536039352417,8
43,OK,0.21523316204547882,9
44,OK,0.47887668013572693,14
45,OK,0.4385514259338379,14
46,OK,0.17527472972869873,7
47,OK,0.5791062712669373,17
48,OK,0.5789597630500793,16
49,OK,0.2158082127571106,8
5,OK,0.4730868637561798,14
50,OK,0.17782913148403168,7
51,OK,0.45811256766319275,14
52,OK,0.4882233440876007,14
53,OK,0.20110857486724854,8
54,OK,0.16551080346107483,7
55,OK,0.1741153448820114,8
56,OK,0.435167133808136,15
57,OK,0.4307628571987152,15
58,OK,0.4858774244785309,16
59,OK,0.4821714460849762,16
6,OK,0.48260238766670227,14
60,OK,0.44354888796806335,15
61,OK,0.39648085832595825,14
62,OK,0.6581097841262817,16
63,OK,0.6592400670051575,16
64,OK,0.6620939373970032,16
65,OK,0.514874279499054,16
66,OK,0.16534240543842316,7
67,OK,0.15586413443088531,7
68,OK,0.16276319324970245,7
69,OK,0.17419734597206116,7
7,OK,0.4723197817802429,16
70,OK,0.2020648717880249,8
71,OK,0.5714690089225769,16
72,OK,0.555862545967102,16
73,OK,0.5461504459381104,16
74,OK,0.17965732514858246,8
75,OK,0.20077838003635406,9
76,OK,0.18126210570335388,8
77,OK,0.21644985675811768,8
78,OK,0.5066112875938416,15
79,OK,0.5080369710922241,15
8,OK,0.16510184109210968,7
80,OK,0.3257865607738495,12
81,OK,0.23576217889785767,10
82,OK,0.16275988519191742,12
83,OK,0.11871155351400375,12
84,OK,0.2555595338344574,14
85,OK,0.6381416320800781,17
86,OK,0.36048540472984314,14
87,OK,0.0,0
88,OK,0.6918325424194336,16
89,OK,0.5682175755500793,17
9,OK,0.18348780274391174,6
90,OK,0.5003737807273865,14
91,OK,0.1968730092048645,10
92,OK,0.180037721991539,7
93,OK,0.4017447829246521,16
94,OK,0.3762158155441284,16
95,OK,0.358052134513855,14
96,OK,0.44826260209083557,14
97,OK,0.4332427978515625,15
98,OK,0.6484845280647278,16
99,OK,0.4417513608932495,14
